ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg
Exp1_S10,1,mid,mid,mid,5,10,0,0,0,0,111.768231163311
Exp1_S10,2,mid,mid,mid,2.5,9,1,0,0,0,55.6805030377004
Exp1_S10,3,mid,mid,mid,1.25,10,0,0,0,0,103.292098120091
Exp1_S10,4,mid,mid,mid,0.625,10,0,0,0,0,102.23098945754
Exp1_S10,5,mid,near,mid,5,5,3,0,2,0,120.113519146512
Exp1_S10,6,mid,near,mid,2.5,5,5,0,0,0,93.2488595472684
Exp1_S10,7,mid,near,mid,1.25,8,2,0,0,0,78.1391038873309
Exp1_S10,8,mid,near,mid,0.625,6,3,1,0,0,97.2563228671644
Exp1_S10,9,mid,far,mid,5,6,4,0,0,0,88.3294562360693
Exp1_S10,10,mid,far,mid,2.5,2,8,0,0,0,93.6235280708233
Exp1_S10,11,mid,far,mid,1.25,3,7,0,0,0,123.104796940714
Exp1_S10,12,mid,far,mid,0.625,0,8,2,0,0,87.6784739914844
Exp1_S10,13,mid,no flankers,mid,Inf,0,0,0,0,10,128.651722440602
Exp1_S11,1,mid,mid,mid,5,9,0,1,0,0,40.4821838392543
Exp1_S11,2,mid,mid,mid,2.5,7,0,1,0,2,10.4693274324264
Exp1_S11,3,mid,mid,mid,1.25,10,0,0,0,0,27.1254277138362
Exp1_S11,4,mid,mid,mid,0.625,8,0,1,0,1,43.4246870856585
Exp1_S11,5,mid,near,mid,5,4,2,1,0,3,53.3681797799257
Exp1_S11,6,mid,near,mid,2.5,2,1,3,0,4,67.6014557874181
Exp1_S11,7,mid,near,mid,1.25,3,2,3,0,2,85.158461530069
Exp1_S11,8,mid,near,mid,0.625,1,0,7,0,2,88.9223869439766
Exp1_S11,9,mid,far,mid,5,8,1,0,0,1,42.5727858243113
Exp1_S11,10,mid,far,mid,2.5,4,3,1,0,2,20.2964798681677
Exp1_S11,11,mid,far,mid,1.25,5,2,2,0,1,74.9861763964778
Exp1_S11,12,mid,far,mid,0.625,5,3,2,0,0,40.1069230391047
Exp1_S11,13,mid,no flankers,mid,Inf,1,0,0,0,9,12.9505708903859
Exp1_S12,1,mid,mid,mid,5,10,0,0,0,0,38.5258516110593
Exp1_S12,2,mid,mid,mid,2.5,10,0,0,0,0,19.6202379854617
Exp1_S12,3,mid,mid,mid,1.25,10,0,0,0,0,25.1543034757111
Exp1_S12,4,mid,mid,mid,0.625,10,0,0,0,0,95.066012197496
Exp1_S12,5,mid,near,mid,5,9,1,0,0,0,44.1622572677837
Exp1_S12,6,mid,near,mid,2.5,7,3,0,0,0,22.361041042802
Exp1_S12,7,mid,near,mid,1.25,3,7,0,0,0,21.0517768566624
Exp1_S12,8,mid,near,mid,0.625,0,10,0,0,0,46.9665168555168
Exp1_S12,9,mid,far,mid,5,7,3,0,0,0,41.0670260876063
Exp1_S12,10,mid,far,mid,2.5,1,9,0,0,0,21.1922037726203
Exp1_S12,11,mid,far,mid,1.25,3,6,1,0,0,105.775535226961
Exp1_S12,12,mid,far,mid,0.625,0,5,4,0,1,92.0207791581359
Exp1_S12,13,mid,no flankers,mid,Inf,2,0,0,0,8,11.3276227297352
Exp1_S13,1,mid,mid,mid,5,8,2,0,0,0,15.1992972155569
Exp1_S13,2,mid,mid,mid,2.5,10,0,0,0,0,18.5110593994115
Exp1_S13,3,mid,mid,mid,1.25,10,0,0,0,0,26.3176482524452
Exp1_S13,4,mid,mid,mid,0.625,10,0,0,0,0,17.9362751501707
Exp1_S13,5,mid,near,mid,5,8,2,0,0,0,19.3710054721605
Exp1_S13,6,mid,near,mid,2.5,7,3,0,0,0,16.5404580296654
Exp1_S13,7,mid,near,mid,1.25,7,3,0,0,0,22.202727363617
Exp1_S13,8,mid,near,mid,0.625,8,0,1,1,0,40.8920809884173
Exp1_S13,9,mid,far,mid,5,8,2,0,0,0,18.2771281789505
Exp1_S13,10,mid,far,mid,2.5,5,5,0,0,0,21.4669186000928
Exp1_S13,11,mid,far,mid,1.25,5,0,1,4,0,23.0820631842782
Exp1_S13,12,mid,far,mid,0.625,5,0,1,4,0,28.8329604406927
Exp1_S13,13,mid,no flankers,mid,Inf,0,0,0,0,10,16.9182616460723
Exp1_S14,1,mid,mid,mid,5,10,0,0,0,0,41.4074971748054
Exp1_S14,2,mid,mid,mid,2.5,9,1,0,0,0,23.8660942834358
Exp1_S14,3,mid,mid,mid,1.25,10,0,0,0,0,13.4968671274505
Exp1_S14,4,mid,mid,mid,0.625,9,1,0,0,0,23.5497019166572
Exp1_S14,5,mid,near,mid,5,1,9,0,0,0,17.3774970971993
Exp1_S14,6,mid,near,mid,2.5,4,5,1,0,0,27.1996059292647
Exp1_S14,7,mid,near,mid,1.25,7,3,0,0,0,24.7870642293945
Exp1_S14,8,mid,near,mid,0.625,8,2,0,0,0,51.7065278476808
Exp1_S14,9,mid,far,mid,5,9,1,0,0,0,24.1204893462063
Exp1_S14,10,mid,far,mid,2.5,5,5,0,0,0,28.0782376067889
Exp1_S14,11,mid,far,mid,1.25,2,3,5,0,0,23.9964427790731
Exp1_S14,12,mid,far,mid,0.625,3,0,4,3,0,74.8364714796921
Exp1_S14,13,mid,no flankers,mid,Inf,0,0,0,0,10,18.5036802752567
Exp1_S15,1,mid,mid,mid,5,9,1,0,0,0,17.4932874647769
Exp1_S15,2,mid,mid,mid,2.5,9,1,0,0,0,18.2960070773671
Exp1_S15,3,mid,mid,mid,1.25,8,2,0,0,0,15.8324757397299
Exp1_S15,4,mid,mid,mid,0.625,8,1,1,0,0,23.757782509177
Exp1_S15,5,mid,near,mid,5,1,9,0,0,0,26.3642976233029
Exp1_S15,6,mid,near,mid,2.5,1,9,0,0,0,19.6191621831106
Exp1_S15,7,mid,near,mid,1.25,5,5,0,0,0,20.250229257767
Exp1_S15,8,mid,near,mid,0.625,4,4,2,0,0,17.658906325732
Exp1_S15,9,mid,far,mid,5,0,10,0,0,0,12.1560331765107
Exp1_S15,10,mid,far,mid,2.5,1,9,0,0,0,15.3093722045385
Exp1_S15,11,mid,far,mid,1.25,4,3,2,0,1,26.7554969454461
Exp1_S15,12,mid,far,mid,0.625,5,3,2,0,0,16.590930692223
Exp1_S15,13,mid,no flankers,mid,Inf,1,0,0,1,8,20.0356185070195
Exp1_S16,1,mid,mid,mid,5,10,0,0,0,0,15.0016575375826
Exp1_S16,2,mid,mid,mid,2.5,10,0,0,0,0,19.772593818831
Exp1_S16,3,mid,mid,mid,1.25,10,0,0,0,0,11.0818478562762
Exp1_S16,4,mid,mid,mid,0.625,10,0,0,0,0,8.9340822661529
Exp1_S16,5,mid,near,mid,5,5,5,0,0,0,23.9620225691777
Exp1_S16,6,mid,near,mid,2.5,7,3,0,0,0,22.2938799416649
Exp1_S16,7,mid,near,mid,1.25,8,2,0,0,0,26.9602104184856
Exp1_S16,8,mid,near,mid,0.625,6,2,2,0,0,25.0663832685943
Exp1_S16,9,mid,far,mid,5,5,5,0,0,0,19.0687160839807
Exp1_S16,10,mid,far,mid,2.5,1,9,0,0,0,26.3458691563778
Exp1_S16,11,mid,far,mid,1.25,3,6,1,0,0,46.9793829495441
Exp1_S16,12,mid,far,mid,0.625,1,3,5,1,0,56.9349364572238
Exp1_S16,13,mid,no flankers,mid,Inf,0,0,0,0,10,16.5894833426721
Exp1_S17,1,mid,mid,mid,5,9,0,1,0,0,26.0330188048964
Exp1_S17,2,mid,mid,mid,2.5,10,0,0,0,0,16.4056137800189
Exp1_S17,3,mid,mid,mid,1.25,10,0,0,0,0,24.8242130413818
Exp1_S17,4,mid,mid,mid,0.625,7,3,0,0,0,53.9580993864823
Exp1_S17,5,mid,near,mid,5,8,2,0,0,0,22.016547289959
Exp1_S17,6,mid,near,mid,2.5,9,1,0,0,0,25.600562379332
Exp1_S17,7,mid,near,mid,1.25,7,2,0,1,0,19.7355444582784
Exp1_S17,8,mid,near,mid,0.625,2,5,1,0,2,63.2961017345744
Exp1_S17,9,mid,far,mid,5,8,2,0,0,0,27.5824291576819
Exp1_S17,10,mid,far,mid,2.5,5,4,0,1,0,40.693573661683
Exp1_S17,11,mid,far,mid,1.25,4,3,2,1,0,42.5745255262721
Exp1_S17,12,mid,far,mid,0.625,1,5,3,1,0,21.6615749117643
Exp1_S17,13,mid,no flankers,mid,Inf,1,0,0,0,9,13.1760575149107
Exp1_S18,1,mid,mid,mid,5,10,0,0,0,0,13.5866162869892
Exp1_S18,2,mid,mid,mid,2.5,9,0,1,0,0,36.0908359118034
Exp1_S18,3,mid,mid,mid,1.25,7,1,1,0,1,80.5908783368846
Exp1_S18,4,mid,mid,mid,0.625,10,0,0,0,0,39.8061164779353
Exp1_S18,5,mid,near,mid,5,8,2,0,0,0,19.5921210126865
Exp1_S18,6,mid,near,mid,2.5,8,2,0,0,0,25.9799404823196
Exp1_S18,7,mid,near,mid,1.25,6,4,0,0,0,27.6478276131326
Exp1_S18,8,mid,near,mid,0.625,4,6,0,0,0,35.3363941969067
Exp1_S18,9,mid,far,mid,5,6,3,1,0,0,61.2644583585738
Exp1_S18,10,mid,far,mid,2.5,9,1,0,0,0,21.5345209223575
Exp1_S18,11,mid,far,mid,1.25,6,3,1,0,0,38.9318363771461
Exp1_S18,12,mid,far,mid,0.625,5,3,1,0,1,41.6395147329211
Exp1_S18,13,mid,no flankers,mid,Inf,2,0,0,0,8,13.1084096182058
Exp1_S19,1,mid,mid,mid,5,8,2,0,0,0,67.5052901042582
Exp1_S19,2,mid,mid,mid,2.5,4,6,0,0,0,106.206488180658
Exp1_S19,3,mid,mid,mid,1.25,7,3,0,0,0,105.393237496918
Exp1_S19,4,mid,mid,mid,0.625,7,3,0,0,0,115.86654376259
Exp1_S19,5,mid,near,mid,5,0,8,2,0,0,121.958904421712
Exp1_S19,6,mid,near,mid,2.5,0,10,0,0,0,63.8240084955155
Exp1_S19,7,mid,near,mid,1.25,1,6,3,0,0,94.254126234955
Exp1_S19,8,mid,near,mid,0.625,0,3,7,0,0,100.586379339067
Exp1_S19,9,mid,far,mid,5,0,8,2,0,0,86.9169913065294
Exp1_S19,10,mid,far,mid,2.5,0,10,0,0,0,70.1339225891871
Exp1_S19,11,mid,far,mid,1.25,0,8,2,0,0,69.8712833233043
Exp1_S19,12,mid,far,mid,0.625,1,5,3,1,0,80.8422147237928
Exp1_S19,13,mid,no flankers,mid,Inf,1,1,0,8,0,91.4738891348252
Exp1_S1,1,mid,mid,mid,5,10,0,0,0,0,16.0015982896326
Exp1_S1,2,mid,mid,mid,2.5,10,0,0,0,0,12.0723455425052
Exp1_S1,3,mid,mid,mid,1.25,9,1,0,0,0,13.4858995223623
Exp1_S1,4,mid,mid,mid,0.625,10,0,0,0,0,11.5965569741375
Exp1_S1,5,mid,near,mid,5,9,1,0,0,0,11.2847986280754
Exp1_S1,6,mid,near,mid,2.5,7,3,0,0,0,10.9321384434023
Exp1_S1,7,mid,near,mid,1.25,10,0,0,0,0,7.45957347119997
Exp1_S1,8,mid,near,mid,0.625,5,4,1,0,0,14.9953946062468
Exp1_S1,9,mid,far,mid,5,5,5,0,0,0,9.93001407207082
Exp1_S1,10,mid,far,mid,2.5,5,4,1,0,0,7.3115373944354
Exp1_S1,11,mid,far,mid,1.25,5,5,0,0,0,14.1558405176762
Exp1_S1,12,mid,far,mid,0.625,5,0,5,0,0,42.9522654384264
Exp1_S1,13,mid,no flankers,mid,Inf,1,0,0,0,9,10.1355701629429
Exp1_S20,1,mid,mid,mid,5,10,0,0,0,0,22.8940889992452
Exp1_S20,2,mid,mid,mid,2.5,9,1,0,0,0,25.8578890405934
Exp1_S20,3,mid,mid,mid,1.25,6,3,1,0,0,76.9909352321468
Exp1_S20,4,mid,mid,mid,0.625,8,2,0,0,0,23.474650407535
Exp1_S20,5,mid,near,mid,5,5,5,0,0,0,25.8608139141499
Exp1_S20,6,mid,near,mid,2.5,8,2,0,0,0,21.7094527529024
Exp1_S20,7,mid,near,mid,1.25,8,2,0,0,0,19.5821378867939
Exp1_S20,8,mid,near,mid,0.625,8,2,0,0,0,44.8857452385536
Exp1_S20,9,mid,far,mid,5,5,5,0,0,0,21.736351443601
