ID,Condition_number,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg
Exp1_S10,1,mid,mid,mid,5,111.768231163311
Exp1_S10,2,mid,mid,mid,2.5,55.6805030377004
Exp1_S10,3,mid,mid,mid,1.25,103.292098120091
Exp1_S10,4,mid,mid,mid,0.625,102.23098945754
Exp1_S10,5,mid,near,mid,5,82.4536419205178
Exp1_S10,6,mid,near,mid,2.5,93.2488595472684
Exp1_S10,7,mid,near,mid,1.25,78.1391038873309
Exp1_S10,8,mid,near,mid,0.625,94.4243820332001
Exp1_S10,9,mid,far,mid,5,88.3294562360693
Exp1_S10,10,mid,far,mid,2.5,93.6235280708233
Exp1_S10,11,mid,far,mid,1.25,123.104796940714
Exp1_S10,12,mid,far,mid,0.625,93.9874888788422
Exp1_S10,13,mid,no flankers,mid,Inf,128.651722440602
Exp1_S11,1,mid,mid,mid,5,15.1008979203372
Exp1_S11,2,mid,mid,mid,2.5,6.61717142199839
Exp1_S11,3,mid,mid,mid,1.25,27.1254277138362
Exp1_S11,4,mid,mid,mid,0.625,45.0221238636112
Exp1_S11,5,mid,near,mid,5,23.0309749155725
Exp1_S11,6,mid,near,mid,2.5,64.5290015649385
Exp1_S11,7,mid,near,mid,1.25,81.2058574187444
Exp1_S11,8,mid,near,mid,0.625,NaN
Exp1_S11,9,mid,far,mid,5,44.5111650983236
Exp1_S11,10,mid,far,mid,2.5,9.14058600006274
Exp1_S11,11,mid,far,mid,1.25,47.537660920947
Exp1_S11,12,mid,far,mid,0.625,44.8832747242428
Exp1_S11,13,mid,no flankers,mid,Inf,12.9505708903859
Exp1_S12,1,mid,mid,mid,5,38.5258516110593
Exp1_S12,2,mid,mid,mid,2.5,19.6202379854617
Exp1_S12,3,mid,mid,mid,1.25,25.1543034757111
Exp1_S12,4,mid,mid,mid,0.625,95.066012197496
Exp1_S12,5,mid,near,mid,5,44.1622572677837
Exp1_S12,6,mid,near,mid,2.5,22.361041042802
Exp1_S12,7,mid,near,mid,1.25,21.0517768566624
Exp1_S12,8,mid,near,mid,0.625,46.9665168555168
Exp1_S12,9,mid,far,mid,5,41.0670260876063
Exp1_S12,10,mid,far,mid,2.5,21.1922037726203
Exp1_S12,11,mid,far,mid,1.25,114.33153696946
Exp1_S12,12,mid,far,mid,0.625,82.732652080371
Exp1_S12,13,mid,no flankers,mid,Inf,11.3276227297352
Exp1_S13,1,mid,mid,mid,5,15.1992972155569
Exp1_S13,2,mid,mid,mid,2.5,18.5110593994115
Exp1_S13,3,mid,mid,mid,1.25,26.3176482524452
Exp1_S13,4,mid,mid,mid,0.625,17.9362751501707
Exp1_S13,5,mid,near,mid,5,19.3710054721605
Exp1_S13,6,mid,near,mid,2.5,16.5404580296654
Exp1_S13,7,mid,near,mid,1.25,22.202727363617
Exp1_S13,8,mid,near,mid,0.625,44.2760069432992
Exp1_S13,9,mid,far,mid,5,18.2771281789505
Exp1_S13,10,mid,far,mid,2.5,21.4669186000928
Exp1_S13,11,mid,far,mid,1.25,18.9119068135836
Exp1_S13,12,mid,far,mid,0.625,31.5676493896778
Exp1_S13,13,mid,no flankers,mid,Inf,16.9182616460723
Exp1_S14,1,mid,mid,mid,5,41.4074971748054
Exp1_S14,2,mid,mid,mid,2.5,23.8660942834358
Exp1_S14,3,mid,mid,mid,1.25,13.4968671274505
Exp1_S14,4,mid,mid,mid,0.625,23.5497019166572
Exp1_S14,5,mid,near,mid,5,17.3774970971993
Exp1_S14,6,mid,near,mid,2.5,28.7606362689073
Exp1_S14,7,mid,near,mid,1.25,24.7870642293945
Exp1_S14,8,mid,near,mid,0.625,51.7065278476808
Exp1_S14,9,mid,far,mid,5,24.1204893462063
Exp1_S14,10,mid,far,mid,2.5,28.0782376067889
Exp1_S14,11,mid,far,mid,1.25,28.241342081131
Exp1_S14,12,mid,far,mid,0.625,59.6491876272316
Exp1_S14,13,mid,no flankers,mid,Inf,18.5036802752567
Exp1_S15,1,mid,mid,mid,5,17.4932874647769
Exp1_S15,2,mid,mid,mid,2.5,18.2960070773671
Exp1_S15,3,mid,mid,mid,1.25,15.8324757397299
Exp1_S15,4,mid,mid,mid,0.625,25.0302717614609
Exp1_S15,5,mid,near,mid,5,26.3642976233029
Exp1_S15,6,mid,near,mid,2.5,19.6191621831106
Exp1_S15,7,mid,near,mid,1.25,20.250229257767
Exp1_S15,8,mid,near,mid,0.625,16.7615431535315
Exp1_S15,9,mid,far,mid,5,12.1560331765107
Exp1_S15,10,mid,far,mid,2.5,15.3093722045385
Exp1_S15,11,mid,far,mid,1.25,11.0218349284226
Exp1_S15,12,mid,far,mid,0.625,13.7119882827323
Exp1_S15,13,mid,no flankers,mid,Inf,20.0356185070195
Exp1_S16,1,mid,mid,mid,5,15.0016575375826
Exp1_S16,2,mid,mid,mid,2.5,19.772593818831
Exp1_S16,3,mid,mid,mid,1.25,11.0818478562762
Exp1_S16,4,mid,mid,mid,0.625,8.9340822661529
Exp1_S16,5,mid,near,mid,5,23.9620225691777
Exp1_S16,6,mid,near,mid,2.5,22.2938799416649
Exp1_S16,7,mid,near,mid,1.25,26.9602104184856
Exp1_S16,8,mid,near,mid,0.625,28.1021255821449
Exp1_S16,9,mid,far,mid,5,19.0687160839807
Exp1_S16,10,mid,far,mid,2.5,26.3458691563778
Exp1_S16,11,mid,far,mid,1.25,50.0392728512003
Exp1_S16,12,mid,far,mid,0.625,68.5407524024802
Exp1_S16,13,mid,no flankers,mid,Inf,16.5894833426721
Exp1_S17,1,mid,mid,mid,5,26.5847678675751
Exp1_S17,2,mid,mid,mid,2.5,16.4056137800189
Exp1_S17,3,mid,mid,mid,1.25,24.8242130413818
Exp1_S17,4,mid,mid,mid,0.625,53.9580993864823
Exp1_S17,5,mid,near,mid,5,22.016547289959
Exp1_S17,6,mid,near,mid,2.5,25.600562379332
Exp1_S17,7,mid,near,mid,1.25,20.8198625079116
Exp1_S17,8,mid,near,mid,0.625,67.398894718436
Exp1_S17,9,mid,far,mid,5,27.5824291576819
Exp1_S17,10,mid,far,mid,2.5,42.6008675709428
Exp1_S17,11,mid,far,mid,1.25,39.9897434462812
Exp1_S17,12,mid,far,mid,0.625,17.3240497292541
Exp1_S17,13,mid,no flankers,mid,Inf,13.1760575149107
Exp1_S18,1,mid,mid,mid,5,13.5866162869892
Exp1_S18,2,mid,mid,mid,2.5,26.5982763798147
Exp1_S18,3,mid,mid,mid,1.25,60.6151628735671
Exp1_S18,4,mid,mid,mid,0.625,39.8061164779353
Exp1_S18,5,mid,near,mid,5,19.5921210126865
Exp1_S18,6,mid,near,mid,2.5,25.9799404823196
Exp1_S18,7,mid,near,mid,1.25,27.6478276131326
Exp1_S18,8,mid,near,mid,0.625,35.3363941969067
Exp1_S18,9,mid,far,mid,5,45.129428624514
Exp1_S18,10,mid,far,mid,2.5,21.5345209223575
Exp1_S18,11,mid,far,mid,1.25,41.1836111115053
