ID,Condition_number,Target_Screen,Fixation_Screen,Flanker_Screen,Target_Flanker_Spacing_in_deg,PerceivedPosCount_TCenter,PerceivedPosCount_TOffCenter,PerceivedPosCount_TObstructed ,PerceivedPosCount_TOutside,PerceivedPosCount_noRingOrUnsure,CircSD_deg,BootStrappedCI
ES1,1,mid,mid,mid,2.5,10,0,0,0,0,25.53268327,13.30954411
ES1,2,mid,mid,mid,1.25,8,0,0,0,2,26.57375227,13.89431535
ES1,3,mid,mid,mid,0.625,10,0,0,0,0,60.0480002,49.2448676
ES1,4,near,mid,mid,2.5,1,4,1,4,0,43.79723656,30.3229092
ES1,5,near,mid,mid,1.25,0,6,2,2,0,26.71145973,20.89903436
ES1,6,near,mid,mid,0.625,0,4,6,0,0,48.83963746,36.98200456
ES1,7,far,mid,mid,2.5,10,0,0,0,0,71.8023321,42.52483814
ES1,8,far,mid,mid,1.25,2,7,1,0,0,61.55399576,24.99458079
ES1,9,far,mid,mid,0.625,0,0,5,5,0,72.26686991,42.37440867
ES1,10,mid,mid,no flankers,Inf,0,0,0,0,10,10.57846101,3.761230258
ES1,11,near,mid,no flankers,Inf,0,0,0,0,10,14.69733062,6.412913225
ES1,12,far,mid,no flankers,Inf,0,0,0,0,10,21.55905004,6.841689935
ES2,1,mid,mid,mid,2.5,10,0,0,0,0,13.55364801,3.181933807
ES2,2,mid,mid,mid,1.25,10,0,0,0,0,14.70283129,5.795731788
ES2,3,mid,mid,mid,0.625,8,2,0,0,0,59.38356129,46.31357555
ES2,4,near,mid,mid,2.5,0,2,3,5,0,19.27860427,6.306143958
ES2,5,near,mid,mid,1.25,0,2,3,5,0,14.43220986,4.894211499
ES2,6,near,mid,mid,0.625,1,2,3,4,0,30.2544639,9.396408597
ES2,7,far,mid,mid,2.5,1,8,1,0,0,39.12943029,45.68314666
ES2,8,far,mid,mid,1.25,0,3,6,0,1,66.94323442,37.82525354
ES2,9,far,mid,mid,0.625,0,0,8,0,2,63.61187459,40.24863446
ES2,10,mid,mid,no flankers,Inf,0,0,0,0,10,14.51464395,7.314427775
ES2,11,near,mid,no flankers,Inf,0,0,0,0,10,40.08581551,45.87003907
ES2,12,far,mid,no flankers,Inf,0,0,0,0,10,15.36695518,4.198557397
ES4,1,mid,mid,mid,2.5,9,0,0,0,1,11.75673334,3.298509105
ES4,2,mid,mid,mid,1.25,8,0,1,0,1,11.25767165,4.183066335
ES4,3,mid,mid,mid,0.625,9,0,0,0,1,42.83594495,41.92994273
ES4,4,near,mid,mid,2.5,0,0,1,5,4,8.07688542,2.492931493
ES4,5,near,mid,mid,1.25,1,0,0,7,2,14.01441937,3.679868134
ES4,6,near,mid,mid,0.625,1,0,0,3,6,28.04563115,19.23687364
ES4,7,far,mid,mid,2.5,2,8,0,0,0,34.61817562,31.47579326
ES4,8,far,mid,mid,1.25,1,1,8,0,0,27.76614768,9.521272162
ES4,9,far,mid,mid,0.625,0,0,5,1,4,45.40138384,33.41329875
ES4,10,mid,mid,no flankers,Inf,1,0,0,0,9,8.666913953,3.315610558
ES4,11,near,mid,no flankers,Inf,0,0,0,0,10,13.31724176,8.06413295
ES4,12,far,mid,no flankers,Inf,0,0,0,0,10,9.558849926,5.584454417
ES3,1,mid,mid,mid,2.5,10,0,0,0,0,6.899617619,2.867429314
ES3,2,mid,mid,mid,1.25,10,0,0,0,0,11.57339981,3.651496351
ES3,3,mid,mid,mid,0.625,10,0,0,0,0,122.1810205,41.47052235
ES3,4,near,mid,mid,2.5,0,0,2,8,0,18.88908965,11.06055085
ES3,5,near,mid,mid,1.25,0,0,0,10,0,14.69946605,6.594860728
ES3,6,near,mid,mid,0.625,0,0,1,8,1,14.69721349,7.667448211
ES3,7,far,mid,mid,2.5,5,5,0,0,0,11.30045458,4.490959488
ES3,8,far,mid,mid,1.25,7,3,0,0,0,23.88741726,8.190074188
ES3,9,far,mid,mid,0.625,5,0,2,0,3,48.85535349,34.8473677
ES3,10,mid,mid,no flankers,Inf,0,0,0,0,10,9.025250178,4.049737345
ES3,11,near,mid,no flankers,Inf,0,0,0,0,10,7.252566649,2.806325279
ES3,12,far,mid,no flankers,Inf,1,0,0,0,9,42.90461158,39.5454378
