ID,Condition_number,Target_Screen,Fixation_Screen,Flanker_Screen,Target_Flanker_Spacing_in_deg,CircSD_deg,BootStrappedCI
ES1,1,mid,mid,mid,2.5,12.56062853,4.905014064
ES1,2,mid,mid,mid,1.25,23.69033312,14.65406089
ES1,3,mid,mid,mid,0.625,41.04714736,41.02425521
ES1,4,near,near,near,2.5,19.80018563,7.075163328
ES1,5,near,near,near,1.25,31.24058259,13.90938589
ES1,6,near,near,near,0.625,28.15174314,22.44855846
ES1,7,far,far,far,2.5,21.63535114,7.624031065
ES1,8,far,far,far,1.25,16.36561564,5.579533299
ES1,9,far,far,far,0.625,29.76408564,11.05374675
ES1,10,mid,mid,no flankers,Inf,16.32334867,5.947864806
ES1,11,near,near,no flankers,Inf,10.49226136,3.971997848
ES1,12,far,far,no flankers,Inf,18.64489551,7.166554744
ES2,1,mid,mid,mid,2.5,18.88407188,6.898622772
ES2,2,mid,mid,mid,1.25,11.96919345,2.900490747
ES2,3,mid,mid,mid,0.625,51.42848563,40.17802398
ES2,4,near,near,near,2.5,24.83593183,14.03149225
ES2,5,near,near,near,1.25,18.47647589,6.121366702
ES2,6,near,near,near,0.625,55.58876552,34.52251423
ES2,7,far,far,far,2.5,40.33618031,35.61040462
ES2,8,far,far,far,1.25,41.66073239,41.30321189
ES2,9,far,far,far,0.625,113.3052836,43.33514553
ES2,10,mid,mid,no flankers,Inf,13.10201018,3.259993036
ES2,11,near,near,no flankers,Inf,13.78697879,5.2825128
ES2,12,far,far,no flankers,Inf,11.28803018,4.094573164
ES3,1,mid,mid,mid,2.5,9.726782754,4.106606249
ES3,2,mid,mid,mid,1.25,17.98572952,5.224514868
ES3,3,mid,mid,mid,0.625,20.81154416,14.78442918
ES3,4,near,near,near,2.5,14.0292023,4.515554539
ES3,5,near,near,near,1.25,14.48862816,4.528754961
ES3,6,near,near,near,0.625,23.20537517,12.65163075
ES3,7,far,far,far,2.5,15.94421347,7.864711485
ES3,8,far,far,far,1.25,33.07957049,15.26309433
ES3,9,far,far,far,0.625,58.19770571,35.89021842
ES3,10,mid,mid,no flankers,Inf,12.92836081,3.465466037
ES3,11,near,near,no flankers,Inf,21.08363085,7.564538289
ES3,12,far,far,no flankers,Inf,8.484560511,4.68677655
ES4,1,mid,mid,mid,2.5,6.374975923,2.646297838
ES4,2,mid,mid,mid,1.25,15.06532047,4.557257513
ES4,3,mid,mid,mid,0.625,54.05669908,37.35955008
ES4,4,near,near,near,2.5,13.92935851,5.963249816
ES4,5,near,near,near,1.25,12.3096288,4.157068015
ES4,6,near,near,near,0.625,27.55221801,22.33516825
ES4,7,far,far,far,2.5,12.31389516,3.37984678
ES4,8,far,far,far,1.25,12.20188665,5.161858516
ES4,9,far,far,far,0.625,39.56422365,43.8846405
ES4,10,mid,mid,no flankers,Inf,15.56105243,6.343725706
ES4,11,near,near,no flankers,Inf,13.75310739,7.239751176
ES4,12,far,far,no flankers,Inf,20.34166992,7.561906949
