"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order","Perceived_TargetRing_Position"
"Exp1_ES4",10,40,49.1058640585997,"mid","no flankers","mid",Inf,1,1,"unsure or no ring"
"Exp1_ES4",4,10,0,"mid","near","mid",2.5,1,2,"target not in center of ring"
"Exp1_ES4",9,330,336.493145639809,"mid","far","mid",0.625,1,3,"target not in center of ring"
"Exp1_ES4",3,328,344.115194172771,"mid","mid","mid",0.625,1,4,"target in center of ring"
"Exp1_ES4",4,251,228.958300937104,"mid","near","mid",2.5,2,5,"target in center of ring"
"Exp1_ES4",7,117,141.479436919425,"mid","far","mid",2.5,1,6,"target in center of ring"
"Exp1_ES4",1,232,227.114621271023,"mid","mid","mid",2.5,1,7,"target in center of ring"
"Exp1_ES4",3,168,142.585300978025,"mid","mid","mid",0.625,2,8,"target in center of ring"
"Exp1_ES4",1,147,127.87985431927,"mid","mid","mid",2.5,2,9,"target in center of ring"
"Exp1_ES4",5,114,124.783320374841,"mid","near","mid",1.25,1,10,"target in center of ring"
"Exp1_ES4",2,54,41.9445922167205,"mid","mid","mid",1.25,1,11,"target in center of ring"
"Exp1_ES4",7,98,113.769611654458,"mid","far","mid",2.5,2,12,"target in center of ring"
"Exp1_ES4",6,358,4.09215533821664,"mid","near","mid",0.625,1,13,"target in center of ring"
"Exp1_ES4",6,348,344.677456316242,"mid","near","mid",0.625,2,14,"target in center of ring"
"Exp1_ES4",5,67,35.437737856529,"mid","near","mid",1.25,2,15,"target in center of ring"
"Exp1_ES4",1,237,217.304456357163,"mid","mid","mid",2.5,3,16,"target in center of ring"
"Exp1_ES4",7,307,301.321970782011,"mid","far","mid",2.5,3,17,"target not in center of ring"
"Exp1_ES4",4,321,302.732864099521,"mid","near","mid",2.5,3,18,"target in center of ring"
"Exp1_ES4",1,42,38.8293980439498,"mid","mid","mid",2.5,4,19,"target in center of ring"
"Exp1_ES4",2,96,81.575970863854,"mid","mid","mid",1.25,2,20,"target in center of ring"
