ID,Condition_number,Presented_Landolt_Ori_in_deg,Reported_Landolt_Ori_in_deg,Target_Screen,Flanker_Screen,Fixation_Screen,Target_Flanker_Spacing_in_deg,Condition_Repeat_Number,Presentation_Order,Perceived_TargetRing_Position
Exp1_S1,3,138,138.7356915,mid,mid,mid,1.25,1,1,target in center of ring
Exp1_S1,9,49,50.6004703,mid,far,mid,5,1,2,target in center of ring
Exp1_S1,1,351,347.0904083,mid,mid,mid,5,1,3,target in center of ring
Exp1_S1,5,53,42.61978436,mid,near,mid,5,1,4,target not in center of ring
Exp1_S1,3,72,40.54558945,mid,mid,mid,1.25,2,5,target in center of ring
Exp1_S1,4,194,199.5811419,mid,mid,mid,0.625,1,6,target in center of ring
Exp1_S1,10,269,274.6885705,mid,far,mid,2.5,1,7,target in center of ring
Exp1_S1,9,347,4.936628938,mid,far,mid,5,2,8,target in center of ring
Exp1_S1,13,77,91.03322423,mid,no flankers,mid,Inf,1,9,unsure or no ring
Exp1_S1,8,162,122.6475993,mid,near,mid,0.625,1,10,target not in center of ring
Exp1_S1,7,214,212.9420471,mid,near,mid,1.25,1,11,target in center of ring
Exp1_S1,11,44,42.00848484,mid,far,mid,1.25,1,12,target in center of ring
Exp1_S1,7,113,107.3717308,mid,near,mid,1.25,2,13,target in center of ring
Exp1_S1,7,200,199.9335426,mid,near,mid,1.25,3,14,target in center of ring
Exp1_S1,6,60,60.47372818,mid,near,mid,2.5,1,15,target in center of ring
Exp1_S1,3,292,304.697062,mid,mid,mid,1.25,3,16,target not in center of ring
Exp1_S1,6,147,126.6831554,mid,near,mid,2.5,2,17,target not in center of ring
Exp1_S1,9,198,196.6143715,mid,far,mid,5,3,18,target in center of ring
Exp1_S1,2,116,135.3995297,mid,mid,mid,2.5,1,19,target in center of ring
Exp1_S1,10,131,125.5703235,mid,far,mid,2.5,2,20,target not in center of ring
Exp1_S1,11,41,38.93121433,mid,far,mid,1.25,2,21,target in center of ring
Exp1_S1,11,30,20,mid,far,mid,1.25,3,22,target not in center of ring
Exp1_S1,12,47,34.43275928,mid,far,mid,0.625,1,23,target in center of ring
Exp1_S1,12,60,63.25888991,mid,far,mid,0.625,2,24,target in center of ring
Exp1_S1,1,152,148.2287431,mid,mid,mid,5,2,25,target in center of ring
Exp1_S1,1,289,315.0548773,mid,mid,mid,5,3,26,target in center of ring
Exp1_S1,12,142,140.6939793,mid,far,mid,0.625,3,27,target in center of ring
Exp1_S1,2,208,206.1043489,mid,mid,mid,2.5,2,28,target in center of ring
Exp1_S1,12,234,41.89566898,mid,far,mid,0.625,4,29,target in center of ring
Exp1_S1,8,137,143.4822202,mid,near,mid,0.625,2,30,target not in center of ring
Exp1_S1,5,156,134.5231819,mid,near,mid,5,2,31,target in center of ring
Exp1_S1,3,9,16.04404807,mid,mid,mid,1.25,4,32,target in center of ring
Exp1_S1,9,59,41.04404986,mid,far,mid,5,4,33,target in center of ring
Exp1_S1,5,228,205.0193194,mid,near,mid,5,3,34,target in center of ring
Exp1_S1,5,359,6.170797348,mid,near,mid,5,4,35,target in center of ring
Exp1_S1,9,9,19.74653721,mid,far,mid,5,5,36,target not in center of ring
Exp1_S1,9,262,267.8122473,mid,far,mid,5,6,37,target not in center of ring
Exp1_S1,13,4,357.7658405,mid,no flankers,mid,Inf,2,38,unsure or no ring
Exp1_S1,2,356,354.0633657,mid,mid,mid,2.5,3,39,target in center of ring
Exp1_S1,4,154,150.567255,mid,mid,mid,0.625,2,40,target in center of ring
Exp1_S1,9,321,317.0386496,mid,far,mid,5,7,41,target in center of ring
Exp1_S1,10,41,45.66381454,mid,far,mid,2.5,3,42,target not in center of ring
Exp1_S1,2,267,264.357826,mid,mid,mid,2.5,4,43,target in center of ring
Exp1_S1,6,30,38.74111009,mid,near,mid,2.5,3,44,target not in center of ring
Exp1_S1,6,342,347.0023462,mid,near,mid,2.5,4,45,target in center of ring
Exp1_S1,7,349,333.4242637,mid,near,mid,1.25,4,46,target in center of ring
Exp1_S1,12,185,139.4598341,mid,far,mid,0.625,5,47,ring obstructs target
Exp1_S1,8,19,16.26196194,mid,near,mid,0.625,3,48,target in center of ring
Exp1_S1,11,132,125.8840942,mid,far,mid,1.25,4,49,target not in center of ring
Exp1_S1,13,89,90.09351969,mid,no flankers,mid,Inf,3,50,unsure or no ring
Exp1_S1,3,74,61.96444035,mid,mid,mid,1.25,5,51,target in center of ring
Exp1_S1,4,48,51.8346262,mid,mid,mid,0.625,3,52,target in center of ring
