"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_ES1",9,155,146.408845961043,"far","far","far",0.625,1,1
"Exp5_ES1",11,272,292.23232956173,"near","no flankers","near",Inf,1,2
"Exp5_ES1",11,30,43.0280542824406,"near","no flankers","near",Inf,2,3
"Exp5_ES1",5,71,148.855234889716,"near","near","near",1.25,1,4
"Exp5_ES1",3,50,40.9215533821664,"mid","mid","mid",0.625,1,5
"Exp5_ES1",10,137,133.727912591562,"mid","no flankers","mid",Inf,1,6
"Exp5_ES1",7,215,211.058995452592,"far","far","far",2.5,1,7
"Exp5_ES1",6,17,37.0931502434832,"near","near","near",0.625,1,8
"Exp5_ES1",4,282,311.520767688341,"near","near","near",2.5,1,9
"Exp5_ES1",8,170,159.025037596677,"far","far","far",1.25,1,10
"Exp5_ES1",9,52,23.6299099470066,"far","far","far",0.625,2,11
"Exp5_ES1",5,7,359.804712116872,"near","near","near",1.25,2,12
"Exp5_ES1",10,237,211.046077669108,"mid","no flankers","mid",Inf,2,13
"Exp5_ES1",7,284,312.513118554856,"far","far","far",2.5,2,14
"Exp5_ES1",8,230,204.400449369808,"far","far","far",1.25,2,15
"Exp5_ES1",6,311,35.6094242337439,"near","near","near",0.625,2,16
"Exp5_ES1",3,47,37.8710971068462,"mid","mid","mid",0.625,2,17
"Exp5_ES1",4,147,153.195287883128,"near","near","near",2.5,2,18
"Exp5_ES1",6,58,43.0280542824406,"near","near","near",0.625,3,19
"Exp5_ES1",10,67,55.2440970659246,"mid","no flankers","mid",Inf,3,20
"Exp5_ES1",12,151,152.750299878258,"far","no flankers","far",Inf,1,21
"Exp5_ES1",10,261,257.719155379138,"mid","no flankers","mid",Inf,4,22
"Exp5_ES1",3,338,351.838728158121,"mid","mid","mid",0.625,3,23
"Exp5_ES1",12,11,20.9886807146949,"far","no flankers","far",Inf,2,24
"Exp5_ES1",10,10,350.815689323567,"mid","no flankers","mid",Inf,5,25
"Exp5_ES1",5,72,84.5723825551418,"near","near","near",1.25,3,26
"Exp5_ES1",7,42,23.0363568819822,"far","far","far",2.5,3,27
"Exp5_ES1",5,286,296.683507590948,"near","near","near",1.25,4,28
"Exp5_ES1",12,68,35.8319339014609,"far","no flankers","far",Inf,3,29
"Exp5_ES1",9,342,55.6060718633629,"far","far","far",0.625,3,30
"Exp5_ES1",2,88,157.409747514016,"mid","mid","mid",1.25,1,31
"Exp5_ES1",2,159,164.70925236322,"mid","mid","mid",1.25,2,32
"Exp5_ES1",6,173,169.874301775995,"near","near","near",0.625,4,33
"Exp5_ES1",9,13,357.976161916356,"far","far","far",0.625,4,34
"Exp5_ES1",1,148,170.847485370545,"mid","mid","mid",2.5,1,35
"Exp5_ES1",8,302,331.868290783443,"far","far","far",1.25,3,36
"Exp5_ES1",8,32,46.5846328057863,"far","far","far",1.25,4,37
"Exp5_ES1",6,173,179.51178029218,"near","near","near",0.625,5,38
"Exp5_ES1",9,108,137.706222250072,"far","far","far",0.625,5,39
"Exp5_ES1",11,164,149.920330850759,"near","no flankers","near",Inf,3,40
"Exp5_ES1",8,231,245.688905399599,"far","far","far",1.25,5,41
"Exp5_ES1",9,333,335.451724076196,"far","far","far",0.625,6,42
"Exp5_ES1",1,32,20.4607766910832,"mid","mid","mid",2.5,2,43
"Exp5_ES1",10,192,194.613291320539,"mid","no flankers","mid",Inf,6,44
"Exp5_ES1",12,355,9.47316313377255,"far","no flankers","far",Inf,4,45
"Exp5_ES1",2,275,314.967631051275,"mid","mid","mid",1.25,3,46
"Exp5_ES1",11,152,157.850741191636,"near","no flankers","near",Inf,4,47
"Exp5_ES1",7,239,208.116791392151,"far","far","far",2.5,4,48
"Exp5_ES1",11,327,324.874301775995,"near","no flankers","near",Inf,5,49
"Exp5_ES1",3,152,160.617097025003,"mid","mid","mid",0.625,4,50
"Exp5_ES1",12,75,34.2323832712689,"far","no flankers","far",Inf,5,51
