"ID","Condition_number","Presented_Landolt_Ori_in_deg","Reported_Landolt_Ori_in_deg","Target_Screen","Flanker_Screen","Fixation_Screen","Target_Flanker_Spacing_in_deg","Condition_Repeat_Number","Presentation_Order"
"Exp5_S11",7,335,138.839012689888,"near","near","near",1.25,1,1
"Exp5_S11",9,278,256.65632390976,"far","far","far",5,1,2
"Exp5_S11",14,77,82.2355440929532,"near","no flankers","near",Inf,1,3
"Exp5_S11",9,171,185.741027832031,"far","far","far",5,2,4
"Exp5_S11",11,56,75.7504463195801,"far","far","far",1.25,1,5
"Exp5_S11",12,190,170.217148840427,"far","far","far",0.625,1,6
"Exp5_S11",12,208,229.257129669189,"far","far","far",0.625,2,7
"Exp5_S11",6,327,320.597676277161,"near","near","near",2.5,1,8
"Exp5_S11",1,286,287.418854475021,"mid","mid","mid",5,1,9
"Exp5_S11",12,351,297.754968643188,"far","far","far",0.625,3,10
"Exp5_S11",14,93,174.287449121475,"near","no flankers","near",Inf,2,11
"Exp5_S11",13,40,68.448998183012,"mid","no flankers","mid",Inf,1,12
"Exp5_S11",4,204,185.123648643494,"mid","mid","mid",0.625,1,13
"Exp5_S11",11,122,143.836540222168,"far","far","far",1.25,2,14
"Exp5_S11",1,71,85.8624286651611,"mid","mid","mid",5,2,15
"Exp5_S11",2,89,92.5618171691895,"mid","mid","mid",2.5,1,16
"Exp5_S11",10,106,94.2850971221924,"far","far","far",2.5,1,17
"Exp5_S11",10,196,201.052264213562,"far","far","far",2.5,2,18
"Exp5_S11",13,133,143.286695957184,"mid","no flankers","mid",Inf,2,19
"Exp5_S11",15,266,271.426982879639,"far","no flankers","far",Inf,1,20
"Exp5_S11",14,316,317.643662929535,"near","no flankers","near",Inf,3,21
"Exp5_S11",9,293,271.161724567413,"far","far","far",5,3,22
"Exp5_S11",1,175,185.917309522629,"mid","mid","mid",5,3,23
"Exp5_S11",8,128,161.178241565824,"near","near","near",0.625,1,24
"Exp5_S11",11,135,144.642393827438,"far","far","far",1.25,3,25
"Exp5_S11",7,252,47.2643995285034,"near","near","near",1.25,2,26
"Exp5_S11",11,228,223.483790874481,"far","far","far",1.25,4,27
"Exp5_S11",15,47,71.8766202926636,"far","no flankers","far",Inf,2,28
"Exp5_S11",14,129,118.160991668701,"near","no flankers","near",Inf,4,29
"Exp5_S11",5,161,183.149535655975,"near","near","near",5,1,30
"Exp5_S11",12,178,233.867555975914,"far","far","far",0.625,4,31
"Exp5_S11",9,273,268.349947929382,"far","far","far",5,4,32
"Exp5_S11",10,321,316.289633750916,"far","far","far",2.5,3,33
"Exp5_S11",3,208,229.99692440033,"mid","mid","mid",1.25,1,34
"Exp5_S11",2,187,129.561831474304,"mid","mid","mid",2.5,2,35
"Exp5_S11",1,145,137.5811419487,"mid","mid","mid",5,4,36
"Exp5_S11",8,317,305.82755947113,"near","near","near",0.625,2,37
"Exp5_S11",5,82,101.913828849792,"near","near","near",5,2,38
"Exp5_S11",6,307,310.258597373962,"near","near","near",2.5,2,39
"Exp5_S11",5,111,147.787226676941,"near","near","near",5,3,40
"Exp5_S11",2,308,247.319172859192,"mid","mid","mid",2.5,3,41
"Exp5_S11",10,181,182.750432014465,"far","far","far",2.5,4,42
"Exp5_S11",7,264,276.287311553955,"near","near","near",1.25,3,43
"Exp5_S11",5,62,60.5575203895569,"near","near","near",5,4,44
"Exp5_S11",5,35,29.5402479171753,"near","near","near",5,5,45
"Exp5_S11",3,185,185.575736284256,"mid","mid","mid",1.25,2,46
"Exp5_S11",8,210,200.873680114746,"near","near","near",0.625,3,47
"Exp5_S11",7,139,146.436840057373,"near","near","near",1.25,4,48
"Exp5_S11",2,4,359,"mid","mid","mid",2.5,4,49
"Exp5_S11",3,94,123.415750265121,"mid","mid","mid",1.25,3,50
"Exp5_S11",14,217,243.793035984039,"near","no flankers","near",Inf,5,51
"Exp5_S11",9,188,175.676540136337,"far","far","far",5,5,52
"Exp5_S11",11,183,190.576128005981,"far","far","far",1.25,5,53
"Exp5_S11",2,183,178.952865600586,"mid","mid","mid",2.5,5,54
"Exp5_S11",15,193,191.385153740644,"far","no flankers","far",Inf,3,55
"Exp5_S11",3,236,197.32533121109,"mid","mid","mid",1.25,4,56
"Exp5_S11",8,355,273.333280324936,"near","near","near",0.625,4,57
"Exp5_S11",15,228,242.562557458878,"far","no flankers","far",Inf,4,58
"Exp5_S11",1,204,235.118253707886,"mid","mid","mid",5,5,59
"Exp5_S11",13,211,206.360892653465,"mid","no flankers","mid",Inf,3,60
"Exp5_S11",15,135,242.194144271314,"far","no flankers","far",Inf,5,61
"Exp5_S11",3,105,92.5618332624435,"mid","mid","mid",1.25,5,62
"Exp5_S11",12,301,252.017080530524,"far","far","far",0.625,5,63
"Exp5_S11",12,77,66.1693935394287,"far","far","far",0.625,6,64
"Exp5_S11",13,326,269.991517394781,"mid","no flankers","mid",Inf,4,65
"Exp5_S11",6,295,294.011454224586,"near","near","near",2.5,3,66
"Exp5_S11",9,53,55.9982504844666,"far","far","far",5,6,67
"Exp5_S11",11,187,240.53923034668,"far","far","far",1.25,6,68
"Exp5_S11",6,137,259.954161643982,"near","near","near",2.5,4,69
"Exp5_S11",3,12,51.8346244096756,"mid","mid","mid",1.25,6,70
"Exp5_S11",14,226,244.166641950607,"near","no flankers","near",Inf,6,71
"Exp5_S11",5,226,132.574764251709,"near","near","near",5,6,72
"Exp5_S11",6,54,67.6896264478564,"near","near","near",2.5,5,73
"Exp5_S11",6,296,300.304709076881,"near","near","near",2.5,6,74
"Exp5_S11",12,296,300.172561645508,"far","far","far",0.625,7,75
"Exp5_S11",2,343,317.038640618324,"mid","mid","mid",2.5,6,76
"Exp5_S11",7,210,332.413772583008,"near","near","near",1.25,5,77
"Exp5_S11",13,102,96.2643027305603,"mid","no flankers","mid",Inf,5,78
"Exp5_S11",6,162,198.137924864888,"near","near","near",2.5,7,79
"Exp5_S11",11,171,192.187872767448,"far","far","far",1.25,7,80
"Exp5_S11",10,68,147.382004410028,"far","far","far",2.5,5,81
"Exp5_S11",10,235,199.084697887301,"far","far","far",2.5,6,82
"Exp5_S11",10,7,203.469828605652,"far","far","far",2.5,7,83
"Exp5_S11",1,245,285.035561442375,"mid","mid","mid",5,6,84
"Exp5_S11",8,157,340.58622238785,"near","near","near",0.625,5,85
"Exp5_S11",6,154,163.281654119492,"near","near","near",2.5,8,86
"Exp5_S11",3,352,12.3415803909302,"mid","mid","mid",1.25,7,87
"Exp5_S11",1,358,0,"mid","mid","mid",5,7,88
"Exp5_S11",3,150,194.857010483742,"mid","mid","mid",1.25,8,89
"Exp5_S11",10,326,184.036943033338,"far","far","far",2.5,8,90
"Exp5_S11",8,344,342.752865791321,"near","near","near",0.625,6,91
"Exp5_S11",4,219,202.292112350464,"mid","mid","mid",0.625,2,92
"Exp5_S11",8,97,76.804633140564,"near","near","near",0.625,7,93
"Exp5_S11",9,149,152.798191785812,"far","far","far",5,7,94
"Exp5_S11",4,240,291,"mid","mid","mid",0.625,3,95
"Exp5_S11",6,270,255.609125137329,"near","near","near",2.5,9,96
"Exp5_S11",14,212,154.660914391279,"near","no flankers","near",Inf,7,97
"Exp5_S11",2,83,114.636796951294,"mid","mid","mid",2.5,7,98
"Exp5_S11",13,101,76.5177726745605,"mid","no flankers","mid",Inf,6,99
"Exp5_S11",7,201,199.396648406982,"near","near","near",1.25,6,100
"Exp5_S11",8,252,274.758661910892,"near","near","near",0.625,8,101
"Exp5_S11",13,268,72.8153085708618,"mid","no flankers","mid",Inf,7,102
"Exp5_S11",4,0,11.1074209213257,"mid","mid","mid",0.625,4,103
"Exp5_S11",14,297,327.982748985291,"near","no flankers","near",Inf,8,104
"Exp5_S11",12,26,284.534677624702,"far","far","far",0.625,8,105
"Exp5_S11",15,341,265.388288542628,"far","no flankers","far",Inf,6,106
"Exp5_S11",7,305,276.287309877574,"near","near","near",1.25,7,107
"Exp5_S11",5,34,41.3563442230225,"near","near","near",5,7,108
"Exp5_S11",14,264,276.321827888489,"near","no flankers","near",Inf,9,109
"Exp5_S11",15,126,132.160341739655,"far","no flankers","far",Inf,7,110
"Exp5_S11",4,306,220.774339675903,"mid","mid","mid",0.625,5,111
"Exp5_S11",4,46,244.363249540329,"mid","mid","mid",0.625,6,112
"Exp5_S11",4,295,123.31991481781,"mid","mid","mid",0.625,7,113
"Exp5_S11",2,79,103.00307559967,"mid","mid","mid",2.5,8,114
"Exp5_S11",9,230,239.339128732681,"far","far","far",5,8,115
"Exp5_S11",4,99,294.809892177582,"mid","mid","mid",0.625,8,116
"Exp5_S11",7,102,82.7126884460449,"near","near","near",1.25,8,117
"Exp5_S11",14,152,331.568963550031,"near","no flankers","near",Inf,10,118
"Exp5_S11",13,67,50.6004524230957,"mid","no flankers","mid",Inf,8,119
"Exp5_S11",7,30,160.994338989258,"near","near","near",1.25,9,120
"Exp5_S11",1,96,91.3276720046997,"mid","mid","mid",5,8,121
"Exp5_S11",5,108,79.8849882781506,"near","near","near",5,8,122
"Exp5_S11",11,229,163.588700294495,"far","far","far",1.25,8,123
"Exp5_S11",12,354,57.0076694190502,"far","far","far",0.625,9,124
"Exp5_S11",13,272,257.07727766037,"mid","no flankers","mid",Inf,9,125
"Exp5_S11",1,256,212.961361169815,"mid","mid","mid",5,9,126
"Exp5_S11",5,209,205.390719413757,"near","near","near",5,9,127
"Exp5_S11",9,311,321.124784886837,"far","far","far",5,9,128
"Exp5_S11",11,67,61.2450313568115,"far","far","far",1.25,9,129
"Exp5_S11",3,50,80.2202653884888,"mid","mid","mid",1.25,9,130
"Exp5_S11",4,115,330.614367961884,"mid","mid","mid",0.625,9,131
"Exp5_S11",12,75,95.6856017708778,"far","far","far",0.625,10,132
"Exp5_S11",9,74,204.494598895311,"far","far","far",5,10,133
"Exp5_S11",6,285,283.011456012726,"near","near","near",2.5,10,134
"Exp5_S11",10,311,346.912163734436,"far","far","far",2.5,9,135
"Exp5_S11",8,281,255.609146595001,"near","near","near",0.625,9,136
"Exp5_S11",15,278,259.879745483398,"far","no flankers","far",Inf,8,137
"Exp5_S11",2,128,77.7519464492798,"mid","mid","mid",2.5,9,138
"Exp5_S11",15,103,119.266605377197,"far","no flankers","far",Inf,9,139
"Exp5_S11",10,134,118.627054989338,"far","far","far",2.5,10,140
"Exp5_S11",7,91,172.810435295105,"near","near","near",1.25,10,141
"Exp5_S11",2,110,59.2395973205566,"mid","mid","mid",2.5,10,142
"Exp5_S11",5,246,55.3678020238876,"near","near","near",5,10,143
"Exp5_S11",13,219,233.115920066833,"mid","no flankers","mid",Inf,10,144
"Exp5_S11",1,100,83.9149723052979,"mid","mid","mid",5,10,145
"Exp5_S11",8,120,265.844813726842,"near","near","near",0.625,10,146
"Exp5_S11",11,126,108.790533542633,"far","far","far",1.25,10,147
"Exp5_S11",3,343,308.448997735977,"mid","mid","mid",1.25,10,148
"Exp5_S11",4,23,75.2836132049561,"mid","mid","mid",0.625,10,149
"Exp5_S11",15,245,201.052292823792,"far","no flankers","far",Inf,10,150
